data,model,RMSE
Test,Bi-LSTM,2.474538413099471
Test,Bi-LSTM,2.525674451909972
Test,Bi-LSTM,2.4417284618104884
Test,Bi-LSTM,2.502730995334178
Test,Bi-LSTM,2.5367058888956144
Test,Bi-LSTM,2.517130003994457
Test,Bi-LSTM,2.475835146872042
Test,Bi-LSTM,2.4737594787615853
Test,Bi-LSTM,2.587875523886929
Test,Bi-LSTM,2.497546576054723
Test,Bi-LSTM,2.454448967012938
Test,Bi-LSTM,2.516169638193239
Test,Bi-LSTM,2.507596802308392
Test,Bi-LSTM,2.493395626177189
Test,Bi-LSTM,2.56662155573394
Train,Bi-LSTM,2.5193210377853497
Train,Bi-LSTM,2.560267576070476
Train,Bi-LSTM,2.5149597363361926
Train,Bi-LSTM,2.546445956114939
Train,Bi-LSTM,2.5569473286286977
Train,Bi-LSTM,2.5818111638990175
Train,Bi-LSTM,2.51970271454673
Train,Bi-LSTM,2.507819489058112
Train,Bi-LSTM,2.5876030469521725
Train,Bi-LSTM,2.5650099612402992
Train,Bi-LSTM,2.513525659806483
Train,Bi-LSTM,2.561981767676721
Train,Bi-LSTM,2.528637750361991
Train,Bi-LSTM,2.550017293070638
Train,Bi-LSTM,2.59944454670928
Test,GRU,2.5128817062668785
Test,GRU,2.5175239647317773
Test,GRU,2.4476941840705226
Test,GRU,2.4517580010968545
Test,GRU,2.4497251202973
Test,GRU,2.521593523194568
Test,GRU,2.5127047515358205
Test,GRU,2.5170271349419258
Test,GRU,2.5290003874881832
Test,GRU,2.5354204315996736
Test,GRU,2.5141232236972706
Test,GRU,2.484845204650579
Test,GRU,2.548546643473612
Test,GRU,2.4497342836051974
Test,GRU,2.5042145310792443
Train,GRU,2.5780259782584216
Train,GRU,2.578720272017906
Train,GRU,2.556712780667086
Train,GRU,2.536662460802182
Train,GRU,2.5234726478612712
Train,GRU,2.607454834762158
Train,GRU,2.593954005285309
Train,GRU,2.58093224049119
Train,GRU,2.5757127908612123
Train,GRU,2.6019595796145962
Train,GRU,2.60021247824449
Train,GRU,2.5920248611824026
Train,GRU,2.633109054203965
Train,GRU,2.565563152107389
Train,GRU,2.6025221698323473
Test,LSTM,2.4955180405908393
Test,LSTM,2.5215270606724283
Test,LSTM,3.0550090109171215
Test,LSTM,2.4943384859617868
Test,LSTM,2.4954929400911396
Test,LSTM,2.485070599644978
Test,LSTM,2.465348430295195
Test,LSTM,2.511996989528592
Test,LSTM,2.539273229251284
Test,LSTM,2.4664711561692387
Test,LSTM,2.570408132333532
Test,LSTM,2.4386419770309344
Test,LSTM,2.5178212636353385
Test,LSTM,2.5340136601642635
Test,LSTM,2.51434425842716
Train,LSTM,2.558211206102667
Train,LSTM,2.5595947698690074
Train,LSTM,2.643037050233631
Train,LSTM,2.5361827610487797
Train,LSTM,2.560227989333781
Train,LSTM,2.548444907429572
Train,LSTM,2.502594783977311
Train,LSTM,2.5105148986307495
Train,LSTM,2.583461630408349
Train,LSTM,2.5077107962118648
Train,LSTM,2.567733451527113
Train,LSTM,2.5255243933447282
Train,LSTM,2.561329955322138
Train,LSTM,2.554358940500269
Train,LSTM,2.53831646276879
