data,model,RMSE
Test,Bi-LSTM,2.593857896338103
Test,Bi-LSTM,2.575994388032429
Test,Bi-LSTM,2.5358023258203257
Test,Bi-LSTM,2.52442082968881
Test,Bi-LSTM,2.4895155362345016
Test,Bi-LSTM,2.5303270722421116
Test,Bi-LSTM,2.498803977698307
Test,Bi-LSTM,2.5047024825307433
Test,Bi-LSTM,2.5223520843796203
Test,Bi-LSTM,2.4772883605323117
Train,Bi-LSTM,2.6204860714962415
Train,Bi-LSTM,2.6126623722060565
Train,Bi-LSTM,2.565124524290031
Train,Bi-LSTM,2.5403601434588987
Train,Bi-LSTM,2.5602990265174146
Train,Bi-LSTM,2.55509358267117
Train,Bi-LSTM,2.5530742195242904
Train,Bi-LSTM,2.578048410877254
Train,Bi-LSTM,2.5621192360158087
Train,Bi-LSTM,2.5491643015438465
Test,GRU,2.480398834751133
Test,GRU,2.5581550209333375
Test,GRU,2.512979308963543
Test,GRU,2.5100354276732046
Test,GRU,2.5038876643540395
Test,GRU,2.528354933735371
Test,GRU,2.5200525279205483
Test,GRU,2.4702824616177517
Test,GRU,2.4882262826195034
Test,GRU,2.5128067620931827
Train,GRU,2.5332015525553393
Train,GRU,2.5984018528540087
Train,GRU,2.5534132373825726
Train,GRU,2.567283028229112
Train,GRU,2.552904522725173
Train,GRU,2.5356693569254873
Train,GRU,2.5654473940416453
Train,GRU,2.5223098350393696
Train,GRU,2.557817338227639
Train,GRU,2.532776336057563
Test,LSTM,2.504565021215558
Test,LSTM,2.4653994754006208
Test,LSTM,2.511477318882759
Test,LSTM,2.5734138999858414
Test,LSTM,2.75872554951058
Test,LSTM,2.512452397771254
Test,LSTM,2.5282594860519536
Test,LSTM,2.483730258578978
Test,LSTM,2.5072997869977005
Test,LSTM,2.5027750811749745
Train,LSTM,2.536369831961251
Train,LSTM,2.5390598325618807
Train,LSTM,2.5656503730278697
Train,LSTM,2.621112412142237
Train,LSTM,2.825789013416474
Train,LSTM,2.5370783504682857
Train,LSTM,2.5661150716268266
Train,LSTM,2.5689611089419175
Train,LSTM,2.564285044087985
Train,LSTM,2.5290146304310492
