data,model,RMSE
Test,Bi-LSTM,2.5858600965144873
Test,Bi-LSTM,2.490678696274404
Test,Bi-LSTM,2.573409207219418
Test,Bi-LSTM,2.5958873574284005
Test,Bi-LSTM,2.5598870416353288
Test,Bi-LSTM,2.5724346020632276
Test,Bi-LSTM,2.535310449001952
Test,Bi-LSTM,2.511100908864714
Test,Bi-LSTM,2.5278818283034923
Test,Bi-LSTM,2.4826469019696757
Test,Bi-LSTM,2.532784619763807
Test,Bi-LSTM,2.5338892395700445
Test,Bi-LSTM,2.5781134858542325
Test,Bi-LSTM,2.5036896030132474
Test,Bi-LSTM,2.6369640114645505
Test,Bi-LSTM,2.463193581602374
Test,Bi-LSTM,2.53410939016877
Test,Bi-LSTM,2.4865295188922643
Test,Bi-LSTM,2.568994094484179
Test,Bi-LSTM,2.5436434387375035
Train,Bi-LSTM,2.682521443338743
Train,Bi-LSTM,2.5152682315401993
Train,Bi-LSTM,2.6917262217039966
Train,Bi-LSTM,2.6366298355936166
Train,Bi-LSTM,2.6099098769553093
Train,Bi-LSTM,2.59131722788574
Train,Bi-LSTM,2.5861707622226757
Train,Bi-LSTM,2.5578127061327667
Train,Bi-LSTM,2.531387088877833
Train,Bi-LSTM,2.4776317439623226
Train,Bi-LSTM,2.5869255592284874
Train,Bi-LSTM,2.5863951904817024
Train,Bi-LSTM,2.5779282867277855
Train,Bi-LSTM,2.555654940566115
Train,Bi-LSTM,2.736781674395344
Train,Bi-LSTM,2.486088805899811
Train,Bi-LSTM,2.587659737881722
Train,Bi-LSTM,2.477397800696276
Train,Bi-LSTM,2.6051255001420857
Train,Bi-LSTM,2.6096034543033637
Test,GRU,2.534670451876764
Test,GRU,2.5492702388979884
Test,GRU,2.443459836042499
Test,GRU,2.5567325332205866
Test,GRU,2.506275160303807
Test,GRU,2.4771378317621755
Test,GRU,2.4162433964682055
Test,GRU,2.568663820374534
Test,GRU,2.454215223797349
Test,GRU,2.6471326045846832
Test,GRU,2.595971061238067
Test,GRU,2.5486069125253734
Test,GRU,2.563070251993775
Test,GRU,2.45672755105768
Test,GRU,2.595182209578661
Test,GRU,2.48337104671513
Test,GRU,2.5233508478700917
Test,GRU,2.523652342162843
Test,GRU,2.5435619375332603
Test,GRU,2.6356184460914664
Train,GRU,2.5674995202466233
Train,GRU,2.6149544959822184
Train,GRU,2.545890047164966
Train,GRU,2.6082436113940246
Train,GRU,2.590184240572588
Train,GRU,2.5567349401737167
Train,GRU,2.5493334701715957
Train,GRU,2.6359856434378512
Train,GRU,2.5330983758826284
Train,GRU,2.6886413136759115
Train,GRU,2.636947749842672
Train,GRU,2.6087040377062363
Train,GRU,2.6076617791936885
Train,GRU,2.4825759227625395
Train,GRU,2.6210568727537136
Train,GRU,2.5816183536599127
Train,GRU,2.5905612692034516
Train,GRU,2.6014641321281164
Train,GRU,2.5845487654126695
Train,GRU,2.650888617823175
Test,LSTM,2.529867915992832
Test,LSTM,2.5290589909807757
Test,LSTM,2.5388395492668967
Test,LSTM,2.56877388014408
Test,LSTM,2.5481915310772454
Test,LSTM,2.541362852145131
Test,LSTM,2.542489231168301
Test,LSTM,2.5410419769513375
Test,LSTM,2.5117041910500904
Test,LSTM,2.4154933054536056
Test,LSTM,2.586138912982155
Test,LSTM,2.545608770128667
Test,LSTM,2.509579404589803
Test,LSTM,2.4696715920877472
Test,LSTM,2.559013450274942
Test,LSTM,2.4227515141050873
Test,LSTM,2.426787691830917
Test,LSTM,2.4586890100852736
Test,LSTM,2.5581232329780517
Test,LSTM,2.604325575693239
Train,LSTM,2.5783022047854254
Train,LSTM,2.567143221043604
Train,LSTM,2.566066172929555
Train,LSTM,2.61012445784871
Train,LSTM,2.59038417887769
Train,LSTM,2.5852908792667217
Train,LSTM,2.588681165330712
Train,LSTM,2.5927102368642005
Train,LSTM,2.587455025786891
Train,LSTM,2.5055008702405734
Train,LSTM,2.616697090262402
Train,LSTM,2.594825757075955
Train,LSTM,2.5740035585142915
Train,LSTM,2.5548202315763135
Train,LSTM,2.591843509977225
Train,LSTM,2.4879463675224964
Train,LSTM,2.480090683932661
Train,LSTM,2.5322495388988346
Train,LSTM,2.574458405506751
Train,LSTM,2.62255972168676
